period,oversold,overbought,total_return,sharpe_ratio,max_drawdown,total_trades
5,20,60,0.1617022369155276,0.1377067516304844,-0.5643265792595645,79
5,20,65,-0.12627819417045422,-0.014459846881570041,-0.6718852590236198,69
5,20,70,0.07576122634045473,0.07955091447409134,-0.6017451445836186,65
5,20,75,-0.0671344192878592,-0.018324342928791936,-0.5262116900165043,55
5,20,80,0.5569144023445555,0.3046203153579763,-0.38943065538588123,51
5,25,60,0.13192943446955832,0.11840281943298228,-0.5451377158517591,99
5,25,65,0.0692554550871349,0.08383891522831786,-0.6230221199855195,87
5,25,70,0.38885624815436315,0.23864439845245922,-0.5943789074181365,81
5,25,75,0.2873627306108734,0.18851985315958833,-0.5025758589495053,67
5,25,80,0.8904924140751609,0.41764105774374105,-0.53626472298299,61
5,30,60,0.12586347389419156,0.14132953198578205,-0.6928901206471174,137
5,30,65,-0.3842141705759069,-0.09187024233590343,-0.8127529275507482,113
5,30,70,-0.08794696061476061,0.03392486430021395,-0.7433108991654551,101
5,30,75,0.021301760948141454,0.06676502748218678,-0.6282935514508875,85
5,30,80,0.6560163803144219,0.34104903008234644,-0.5672930217577337,75
5,35,60,-0.05951729439954928,0.17758825014901775,-0.8986663323661364,169
5,35,65,-0.4856765602264978,-0.20370293338961362,-1.046700783937347,139
5,35,70,-0.42836001598147816,0.11926194275550889,-0.9445974044627804,117
5,35,75,-0.24129843861779285,0.011754097998481379,-0.7654610328902612,97
5,35,80,0.29559863124752084,0.22207610622138765,-0.7090805272613817,85
5,40,60,-0.005302220357698825,0.19444083880150909,-0.8971745222704434,207
5,40,65,-0.25101528787128236,0.278625595216599,-0.9536315443975291,167
5,40,70,-0.40749171037159426,0.005293485356666342,-0.8960079375281416,135
5,40,75,-0.1579090272792228,0.017106630348903452,-0.7113280520311102,115
5,40,80,0.46539130664297756,0.27681959265083794,-0.6746104985472201,99
10,20,60,0.4514781242103514,0.2743093168811793,-0.27507916346721234,19
10,20,65,0.6302849465539254,0.35001149633394374,-0.3227320941418258,19
10,20,70,1.1271493719866739,0.5069944656398997,-0.3030159504609078,19
10,20,75,1.0458707210172704,0.4906611678925616,-0.2875635493274202,15
10,20,80,0.1647496513030409,0.07034147382177676,-0.26950874757765597,13
10,25,60,1.7184397573867154,0.7038394186966501,-0.1913091579401042,33
10,25,65,1.6708695525640906,0.7045881907559477,-0.22906462694270885,33
10,25,70,3.2698644487513118,0.9636572850420655,-0.1998060093638474,33
10,25,75,4.260430310828619,1.0259389735637625,-0.23555890927652048,27
10,25,80,1.8752246318492614,0.6709876206781763,-0.2954109284758688,21
10,30,60,0.1597170161020344,0.10493011662816609,-0.4909729887439561,45
10,30,65,0.24627550708293522,0.15935247388187962,-0.3938431687756794,41
10,30,70,1.1785816174298807,0.523986430273742,-0.2752102509665128,39
10,30,75,2.5763159825823427,0.8107165594710872,-0.2688108273115236,33
10,30,80,2.781042266598116,0.7996758641388079,-0.2976284667956642,27
10,35,60,-0.38292486001725085,-0.25653545371295244,-0.7210243723412838,57
10,35,65,-0.42312865400445937,-0.2838412109161295,-0.7027859583510341,47
10,35,70,0.23285716058785982,0.15532843128635265,-0.5186985647173712,45
10,35,75,1.4204736211100935,0.6256205119717511,-0.40822936298889706,39
10,35,80,2.1123124676450926,0.7391931069865063,-0.42692015210502,31
10,40,60,0.3816045417061978,0.2357989738014509,-0.6289135959213635,79
10,40,65,0.2007667187119952,0.15680874853288146,-0.5552954847780645,61
10,40,70,1.9123161373758735,0.704917992792661,-0.45652713074411505,59
10,40,75,4.010394120447562,1.0637220328507089,-0.4069719690561584,49
10,40,80,6.322362095826039,1.2235231588410374,-0.42695141756199334,39
15,20,60,3.1900146413235624,0.46843198155437915,-0.4120396738260635,7
15,20,65,3.4121133736328653,0.4940077420940541,-0.398562234289221,7
15,20,70,3.601543420445019,0.5026518227355458,-0.342510113799049,7
15,20,75,4.300324808255622,0.5591218206132437,-0.20240126746233844,7
15,20,80,4.7478170837134615,0.6033209665573294,-0.13180913752631576,7
